"","Sample tree ID","Species","Year","Site","Longitude","Latitude","Elevation (m)","Aspect (degrees)","Terrain slope (%)","Stem diameter (cm)","Age (years)","Ring width (mm)","Date collected (month/day/year)"
"61","BNF0702130930SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,5.86,16,2.204,"7/2/13"
"62","BNF0702130930SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,6.3,17,2.495,"7/2/13"
"63","BNF0702130930SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,6.8,18,2.242,"7/2/13"
"64","BNF0702130930SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,7.25,19,2.497,"7/2/13"
"65","BNF0702130930SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,7.75,20,1.688,"7/2/13"
"66","BNF0702130930SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,8.09,21,2.162,"7/2/13"
"67","BNF0702130930SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,8.52,22,2.13,"7/2/13"
"68","BNF0702130930SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,8.94,23,2.592,"7/2/13"
"69","BNF0702130930SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,9.46,24,2.281,"7/2/13"
"70","BNF0702130930SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,9.92,25,1.49,"7/2/13"
"71","BNF0702130930SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,10.22,26,1.575,"7/2/13"
"72","BNF0702130930SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,10.53,27,2.412,"7/2/13"
"73","BNF0702130930SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,11.01,28,2.111,"7/2/13"
"74","BNF0702130930SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,11.44,29,2.742,"7/2/13"
"75","BNF0702130930SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,11.98,30,2.356,"7/2/13"
"76","BNF0702130930SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,12.46,31,1.843,"7/2/13"
"77","BNF0702130930SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,12.82,32,2.477,"7/2/13"
"78","BNF0702130930SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,13.32,33,2.405,"7/2/13"
"79","BNF0702130930SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,13.8,34,2.444,"7/2/13"
"80","BNF0702130930SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.0495129,44.18264897,2898,163,30,14.29,35,2.247,"7/2/13"
"141","BNF0702131414SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.1,117,0.539,"7/2/13"
"142","BNF0702131414SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.21,118,0.747,"7/2/13"
"143","BNF0702131414SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.36,119,0.792,"7/2/13"
"144","BNF0702131414SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.52,120,0.659,"7/2/13"
"145","BNF0702131414SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.65,121,0.579,"7/2/13"
"146","BNF0702131414SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.76,122,0.613,"7/2/13"
"147","BNF0702131414SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,32.89,123,0.878,"7/2/13"
"148","BNF0702131414SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.06,124,0.78,"7/2/13"
"149","BNF0702131414SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.22,125,0.847,"7/2/13"
"150","BNF0702131414SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.39,126,0.454,"7/2/13"
"151","BNF0702131414SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.48,127,0.502,"7/2/13"
"152","BNF0702131414SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.58,128,0.652,"7/2/13"
"153","BNF0702131414SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.71,129,0.55,"7/2/13"
"154","BNF0702131414SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.82,130,0.714,"7/2/13"
"155","BNF0702131414SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,33.96,131,0.392,"7/2/13"
"156","BNF0702131414SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,34.04,132,0.387,"7/2/13"
"157","BNF0702131414SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,34.12,133,0.422,"7/2/13"
"158","BNF0702131414SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,34.2,134,0.489,"7/2/13"
"159","BNF0702131414SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,34.3,135,0.551,"7/2/13"
"160","BNF0702131414SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.0675873,44.18145885,2948,195,27,34.41,136,0.457,"7/2/13"
"221","BNF0703130937SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,30.86,62,2.708,"7/3/13"
"222","BNF0703130937SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,31.4,63,2.744,"7/3/13"
"223","BNF0703130937SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,31.95,64,3.083,"7/3/13"
"224","BNF0703130937SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,32.57,65,2.754,"7/3/13"
"225","BNF0703130937SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,33.12,66,1.982,"7/3/13"
"226","BNF0703130937SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,33.51,67,1.948,"7/3/13"
"227","BNF0703130937SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,33.9,68,2.238,"7/3/13"
"228","BNF0703130937SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,34.35,69,1.844,"7/3/13"
"229","BNF0703130937SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,34.72,70,1.56,"7/3/13"
"230","BNF0703130937SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,35.03,71,1.456,"7/3/13"
"231","BNF0703130937SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,35.32,72,1.379,"7/3/13"
"232","BNF0703130937SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,35.6,73,1.885,"7/3/13"
"233","BNF0703130937SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,35.98,74,1.792,"7/3/13"
"234","BNF0703130937SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,36.33,75,1.806,"7/3/13"
"235","BNF0703130937SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,36.7,76,1.622,"7/3/13"
"236","BNF0703130937SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,37.02,77,1.43,"7/3/13"
"237","BNF0703130937SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,37.31,78,1.525,"7/3/13"
"238","BNF0703130937SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,37.61,79,1.556,"7/3/13"
"239","BNF0703130937SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,37.92,80,1.565,"7/3/13"
"240","BNF0703130937SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.0326807,44.17486509,2817,244,27,38.24,81,1.345,"7/3/13"
"341","BNF0703131348SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,21.83,171,0.962,"7/3/13"
"342","BNF0703131348SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,22.02,172,1.056,"7/3/13"
"343","BNF0703131348SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,22.23,173,1.135,"7/3/13"
"344","BNF0703131348SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,22.46,174,1.031,"7/3/13"
"345","BNF0703131348SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,22.66,175,0.76,"7/3/13"
"346","BNF0703131348SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,22.82,176,0.758,"7/3/13"
"347","BNF0703131348SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,22.97,177,0.858,"7/3/13"
"348","BNF0703131348SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.14,178,1.002,"7/3/13"
"349","BNF0703131348SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.34,179,0.822,"7/3/13"
"350","BNF0703131348SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.5,180,0.566,"7/3/13"
"351","BNF0703131348SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.62,181,0.472,"7/3/13"
"352","BNF0703131348SF","Abies lasiocarpa",2003,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.71,182,0.556,"7/3/13"
"353","BNF0703131348SF","Abies lasiocarpa",2004,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.82,183,0.562,"7/3/13"
"354","BNF0703131348SF","Abies lasiocarpa",2005,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,23.93,184,0.71,"7/3/13"
"355","BNF0703131348SF","Abies lasiocarpa",2006,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,24.08,185,0.442,"7/3/13"
"356","BNF0703131348SF","Abies lasiocarpa",2007,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,24.16,186,0.347,"7/3/13"
"357","BNF0703131348SF","Abies lasiocarpa",2008,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,24.23,187,0.496,"7/3/13"
"358","BNF0703131348SF","Abies lasiocarpa",2009,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,24.33,188,0.46,"7/3/13"
"359","BNF0703131348SF","Abies lasiocarpa",2010,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,24.42,189,0.548,"7/3/13"
"360","BNF0703131348SF","Abies lasiocarpa",2011,"Big Horn National Forest ",-107.0412482,44.18678535,2951,128,27,24.53,190,0.434,"7/3/13"
"401","BNF0703131606SF","Abies lasiocarpa",1992,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,22.46,171,0.534,"7/3/13"
"402","BNF0703131606SF","Abies lasiocarpa",1993,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,22.57,172,0.608,"7/3/13"
"403","BNF0703131606SF","Abies lasiocarpa",1994,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,22.69,173,0.686,"7/3/13"
"404","BNF0703131606SF","Abies lasiocarpa",1995,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,22.83,174,0.7,"7/3/13"
"405","BNF0703131606SF","Abies lasiocarpa",1996,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,22.97,175,0.635,"7/3/13"
"406","BNF0703131606SF","Abies lasiocarpa",1997,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.1,176,0.588,"7/3/13"
"407","BNF0703131606SF","Abies lasiocarpa",1998,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.21,177,0.762,"7/3/13"
"408","BNF0703131606SF","Abies lasiocarpa",1999,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.37,178,0.788,"7/3/13"
"409","BNF0703131606SF","Abies lasiocarpa",2000,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.52,179,0.876,"7/3/13"
"410","BNF0703131606SF","Abies lasiocarpa",2001,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.7,180,0.611,"7/3/13"
"411","BNF0703131606SF","Abies lasiocarpa",2002,"Big Horn National Forest ",-107.0452289,44.19117964,2977,120,10,23.82,181,0.583,"7/3/13"
