Year	Tree Name	Tree location	Tree Ring Widths (mm)	"Temperature (ºC, Growing Season: May, June, July, Aug)"	"Precipitation (mm, Growing Season: May, June, July, Aug)"
2000	isla1 burned upland 0.37	12.36	93.81
1999	isla1	burned upland	0.37	14.05	95.48
1998	isla1	burned upland	0.42	13.40	122.06
1997	isla1	burned upland	0.41	14.96	56.26
1996	isla1	burned upland	0.40	13.53	85.94
1995	isla1	burned upland	0.41	14.81	95.35
1994	isla1	burned upland	0.38	14.76	73.94
1993	isla1	burned upland	0.36	15.19	82.97
1992	isla1	burned upland	0.36	13.11	98.45
1991	isla1	burned upland	0.36	14.17	46.58
1990	isla1	burned upland	0.36	15.83	159.23
1989	isla1	burned upland	0.36	14.67	76.52
1988	isla1	burned upland	0.36	15.54	96.39
1987	isla1	burned upland	0.38	14.85	52.39
1986	isla1	burned upland	0.33	13.99	84.39
1985	isla1	burned upland	0.32	13.35	100.77
1984	isla1	burned upland	0.31	13.22	77.03
1983	isla1	burned upland	0.30	14.21	86.06
1982	isla1	burned upland	0.28	13.47	99.23
1981	isla1	burned upland	0.36	12.82	92.90
1980	isla1	burned upland	0.36	13.01	70.97
1979	isla1	burned upland	0.39	14.01	82.19
1978	isla1	burned upland	0.43	13.85	71.74
1977	isla1	burned upland	0.46	14.68	117.94
1976	isla1	burned upland	0.43	13.92	69.16
1975	isla1	burned upland	0.47	15.74	72.13
1974	isla1	burned upland	0.47	14.54	53.03
1973	isla1	burned upland	0.52	13.88	80.77
1972	isla1	burned upland	0.57	14.17	60.65
1971	isla1	burned upland	0.64	13.85	94.45
1970	isla1	burned upland	0.80	14.04	95.87
1969	isla1	burned upland	0.92	13.26	64.39
1968	isla1	burned upland	0.95	14.33	53.42
1967	isla1	burned upland	0.94	13.54	146.45
1966	isla1	burned upland	0.91	13.93	27.61
1965	isla1	burned upland	0.86	11.51	81.03
1964	isla1	burned upland	0.88	12.07	87.74
1963	isla1	burned upland	0.83	12.40	93.68
1962	isla1	burned upland	0.93	13.47	162.84
1961	isla1	burned upland	1.01	13.13	106.71
1960	isla1	burned upland	0.95	13.64	92.00
1959	isla1	burned upland	0.82	12.58	99.87
1958	isla1	burned upland	0.83	14.14	52.52
1957	isla1	burned upland	0.74	14.47	20.00
1956	isla1	burned upland	0.68	13.18	92.90
1955	isla1	burned upland	0.72	12.19	142.97
1954	isla1	burned upland	0.81	13.28	101.03
1953	isla1	burned upland	0.84	14.35	105.16
1952	isla1	burned upland	0.85	11.93	80.00
1951	isla1	burned upland	0.98	13.38	78.84
1950	isla1	burned upland	1.05	13.60	69.16
1949	isla1	burned upland	1.17	11.51	113.81
1948	isla1	burned upland	1.23	11.81	148.52
1947	isla1	burned upland	1.26	12.43	68.26
1946	isla1	burned upland	1.20	13.29	86.71
1945	isla1	burned upland	1.15	11.22	141.16
1944	isla1	burned upland	1.16	12.90	97.81
1943	isla1	burned upland	1.19	12.56	72.26
1942	isla1	burned upland	1.28	14.31	144.77
1941	isla1	burned upland	1.36	13.65	76.90
1940	isla1	burned upland	1.53	14.03	95.10
1939	isla1	burned upland	1.50	12.82	101.29
1938	isla1	burned upland	1.48	12.61	84.13
1937	isla1	burned upland	1.58	12.44	85.29
1936	isla1	burned upland	1.64	14.08	69.55
1935	isla1	burned upland	1.51	11.36	91.74
1934	isla1	burned upland	1.56	12.14	88.90
1933	isla1	burned upland	1.59	11.68	81.94
1932	isla1	burned upland	1.50	11.68	114.84
1931	isla1	burned upland	1.45	11.22	104.90
1930	isla1	burned upland	1.51	12.79	174.97
1929	isla1	burned upland	1.42	12.85	111.48
1928	isla1	burned upland	1.62	12.72	64.13
1927	isla1	burned upland	1.68	13.51	50.71
1926	isla1	burned upland	1.69	14.08	99.10
1925	isla1	burned upland	1.71	13.00	115.23
1924	isla1	burned upland	1.82	12.46	101.55
1923	isla1	burned upland	1.79	14.18	72.65
1922	isla1	burned upland	1.81	10.40	113.68
1921	isla1	burned upland	2.04	13.56	66.06
1920	isla1	burned upland	2.09	12.49	64.26
1919	isla1	burned upland	2.01	13.22	107.10
1918	isla1	burned upland	1.85	12.10	74.06
1917	isla1	burned upland	1.69	12.43	94.32
1916	isla1	burned upland	1.46	13.04	123.35
1915	isla1	burned upland	1.40	14.88	126.84
1914	isla1	burned upland	1.44	12.81	90.58
1913	isla1	burned upland	1.65	14.35	95.10
1912	isla1	burned upland	1.85	13.07	95.61
1911	isla1	burned upland	1.93	12.88	84.64
1910	isla1	burned upland	1.83	12.93	85.29
1909	isla1	burned upland	1.67	12.64	77.94
1908	isla1	burned upland	1.32	-9999.00	-9999.00
1907	isla1	burned upland	1.11	-9999.00	-9999.00
1906	isla1	burned upland	0.93	-9999.00	-9999.00
1905	isla1	burned upland	0.90	-9999.00	-9999.00
1904	isla1	burned upland	0.96	-9999.00	-9999.00
1903	isla1	burned upland	0.91	-9999.00	-9999.00
1902	isla1	burned upland	0.86	-9999.00	-9999.00
1901	isla1	burned upland	0.89	-9999.00	-9999.00
1900	isla1	burned upland	0.84	-9999.00	-9999.00
1899	isla1	burned upland	0.77	-9999.00	-9999.00
1898	isla1	burned upland	0.81	-9999.00	-9999.00
1897	isla1	burned upland	0.78	-9999.00	-9999.00
1896	isla1	burned upland	0.68	-9999.00	-9999.00
1895	isla1	burned upland	0.68	-9999.00	-9999.00
1894	isla1	burned upland	0.62	-9999.00	-9999.00
1893	isla1	burned upland	0.59	-9999.00	-9999.00
1892	isla1	burned upland	0.56	-9999.00	-9999.00
1891	isla1	burned upland	0.58	-9999.00	-9999.00
1890	isla1	burned upland	0.55	-9999.00	-9999.00
1889	isla1	burned upland	0.52	-9999.00	-9999.00
1888	isla1	burned upland	0.48	-9999.00	-9999.00
1887	isla1	burned upland	0.44	-9999.00	-9999.00
1886	isla1	burned upland	0.35	-9999.00	-9999.00
1885	isla1	burned upland	0.27	-9999.00	-9999.00
1884	isla1	burned upland	0.25	-9999.00	-9999.00
1883	isla1	burned upland	0.24	-9999.00	-9999.00
1882	isla1	burned upland	0.26	-9999.00	-9999.00
1881	isla1	burned upland	0.26	-9999.00	-9999.00
1880	isla1	burned upland	0.28	-9999.00	-9999.00
1879	isla1	burned upland	0.31	-9999.00	-9999.00
1878	isla1	burned upland	0.37	-9999.00	-9999.00
2000	isla2	burned upland	0.59	12.36	93.81
1999	isla2	burned upland	0.58	14.05	95.48
1998	isla2	burned upland	0.64	13.40	122.06
1997	isla2	burned upland	0.81	14.96	56.26
1996	isla2	burned upland	0.95	13.53	85.94
1995	isla2	burned upland	1.09	14.81	95.35
1994	isla2	burned upland	1.24	14.76	73.94
1993	isla2	burned upland	1.36	15.19	82.97
1992	isla2	burned upland	1.33	13.11	98.45
1991	isla2	burned upland	1.33	14.17	46.58
1990	isla2	burned upland	1.38	15.83	159.23
1989	isla2	burned upland	1.37	14.67	76.52
1988	isla2	burned upland	1.31	15.54	96.39
1987	isla2	burned upland	1.34	14.85	52.39
1986	isla2	burned upland	1.35	13.99	84.39
1985	isla2	burned upland	1.22	13.35	100.77
1984	isla2	burned upland	1.09	13.22	77.03
1983	isla2	burned upland	0.99	14.21	86.06
1982	isla2	burned upland	0.85	13.47	99.23
1981	isla2	burned upland	0.72	12.82	92.90
1980	isla2	burned upland	0.70	13.01	70.97
1979	isla2	burned upland	0.73	14.01	82.19
1978	isla2	burned upland	0.78	13.85	71.74
1977	isla2	burned upland	0.84	14.68	117.94
1976	isla2	burned upland	0.87	13.92	69.16
1975	isla2	burned upland	0.93	15.74	72.13
1974	isla2	burned upland	0.95	14.54	53.03
1973	isla2	burned upland	0.96	13.88	80.77
1972	isla2	burned upland	0.99	14.17	60.65
1971	isla2	burned upland	1.01	13.85	94.45
1970	isla2	burned upland	1.03	14.04	95.87
1969	isla2	burned upland	1.14	13.26	64.39
1968	isla2	burned upland	1.18	14.33	53.42
1967	isla2	burned upland	1.20	13.54	146.45
1966	isla2	burned upland	1.32	13.93	27.61
1965	isla2	burned upland	1.31	11.51	81.03
1964	isla2	burned upland	1.30	12.07	87.74
1963	isla2	burned upland	1.30	12.40	93.68
1962	isla2	burned upland	1.28	13.47	162.84
1961	isla2	burned upland	1.22	13.13	106.71
1960	isla2	burned upland	1.22	13.64	92.00
1959	isla2	burned upland	1.13	12.58	99.87
1958	isla2	burned upland	1.05	14.14	52.52
1957	isla2	burned upland	0.96	14.47	20.00
1956	isla2	burned upland	0.87	13.18	92.90
1955	isla2	burned upland	0.77	12.19	142.97
1954	isla2	burned upland	0.69	13.28	101.03
1953	isla2	burned upland	0.66	14.35	105.16
1952	isla2	burned upland	0.64	11.93	80.00
1951	isla2	burned upland	0.58	13.38	78.84
1950	isla2	burned upland	0.60	13.60	69.16
1949	isla2	burned upland	0.61	11.51	113.81
1948	isla2	burned upland	0.67	11.81	148.52
1947	isla2	burned upland	0.76	12.43	68.26
1946	isla2	burned upland	0.83	13.29	86.71
1945	isla2	burned upland	0.85	11.22	141.16
1944	isla2	burned upland	0.98	12.90	97.81
1943	isla2	burned upland	1.04	12.56	72.26
1942	isla2	burned upland	1.08	14.31	144.77
1941	isla2	burned upland	1.13	13.65	76.90
1940	isla2	burned upland	1.15	14.03	95.10
1939	isla2	burned upland	1.09	12.82	101.29
1938	isla2	burned upland	0.97	12.61	84.13
1937	isla2	burned upland	0.92	12.44	85.29
1936	isla2	burned upland	0.92	14.08	69.55
1935	isla2	burned upland	1.02	11.36	91.74
1934	isla2	burned upland	1.14	12.14	88.90
1933	isla2	burned upland	1.33	11.68	81.94
1932	isla2	burned upland	1.35	11.68	114.84
1931	isla2	burned upland	1.32	11.22	104.90
1930	isla2	burned upland	1.14	12.79	174.97
1929	isla2	burned upland	1.02	12.85	111.48
1928	isla2	burned upland	0.82	12.72	64.13
1927	isla2	burned upland	0.70	13.51	50.71
1926	isla2	burned upland	0.47	14.08	99.10
2000	tfis01	bog lowland	0.26	12.36	93.81
1999	tfis01	bog lowland	0.26	14.05	95.48
1998	tfis01	bog lowland	0.26	13.40	122.06
1997	tfis01	bog lowland	0.27	14.96	56.26
1996	tfis01	bog lowland	0.31	13.53	85.94
1995	tfis01	bog lowland	0.35	14.81	95.35
1994	tfis01	bog lowland	0.37	14.76	73.94
1993	tfis01	bog lowland	0.39	15.19	82.97
1992	tfis01	bog lowland	0.45	13.11	98.45
1991	tfis01	bog lowland	0.46	14.17	46.58
1990	tfis01	bog lowland	0.46	15.83	159.23
1989	tfis01	bog lowland	0.47	14.67	76.52
1988	tfis01	bog lowland	0.48	15.54	96.39
1987	tfis01	bog lowland	0.46	14.85	52.39
1986	tfis01	bog lowland	0.45	13.99	84.39
1985	tfis01	bog lowland	0.47	13.35	100.77
1984	tfis01	bog lowland	0.54	13.22	77.03
1983	tfis01	bog lowland	0.61	14.21	86.06
1982	tfis01	bog lowland	0.67	13.47	99.23
1981	tfis01	bog lowland	0.73	12.82	92.90
1980	tfis01	bog lowland	0.83	13.01	70.97
1979	tfis01	bog lowland	0.90	14.01	82.19
1978	tfis01	bog lowland	0.99	13.85	71.74
1977	tfis01	bog lowland	1.01	14.68	117.94
1976	tfis01	bog lowland	1.15	13.92	69.16
1975	tfis01	bog lowland	1.18	15.74	72.13
1974	tfis01	bog lowland	1.15	14.54	53.03
1973	tfis01	bog lowland	1.03	13.88	80.77
1972	tfis01	bog lowland	1.10	14.17	60.65
1971	tfis01	bog lowland	1.00	13.85	94.45
1970	tfis01	bog lowland	0.94	14.04	95.87
1969	tfis01	bog lowland	0.97	13.26	64.39
1968	tfis01	bog lowland	1.02	14.33	53.42
1967	tfis01	bog lowland	1.02	13.54	146.45
1966	tfis01	bog lowland	1.08	13.93	27.61
1965	tfis01	bog lowland	1.23	11.51	81.03
1964	tfis01	bog lowland	1.30	12.07	87.74
1963	tfis01	bog lowland	1.41	12.40	93.68
1962	tfis01	bog lowland	1.48	13.47	162.84
1961	tfis01	bog lowland	1.51	13.13	106.71
1960	tfis01	bog lowland	1.49	13.64	92.00
1959	tfis01	bog lowland	1.46	12.58	99.87
1958	tfis01	bog lowland	1.45	14.14	52.52
1957	tfis01	bog lowland	1.51	14.47	20.00
1956	tfis01	bog lowland	1.56	13.18	92.90
1955	tfis01	bog lowland	1.64	12.19	142.97
1954	tfis01	bog lowland	1.58	13.28	101.03
1953	tfis01	bog lowland	1.53	14.35	105.16
1952	tfis01	bog lowland	1.42	11.93	80.00
1951	tfis01	bog lowland	1.41	13.38	78.84
1950	tfis01	bog lowland	1.34	13.60	69.16
1949	tfis01	bog lowland	1.38	11.51	113.81
1948	tfis01	bog lowland	1.42	11.81	148.52
1947	tfis01	bog lowland	1.39	12.43	68.26
1946	tfis01	bog lowland	1.38	13.29	86.71
1945	tfis01	bog lowland	1.37	11.22	141.16
1944	tfis01	bog lowland	1.54	12.90	97.81
1943	tfis01	bog lowland	1.58	12.56	72.26
1942	tfis01	bog lowland	1.60	14.31	144.77
1941	tfis01	bog lowland	1.57	13.65	76.90
1940	tfis01	bog lowland	1.61	14.03	95.10
1939	tfis01	bog lowland	1.44	12.82	101.29
1938	tfis01	bog lowland	1.43	12.61	84.13
1937	tfis01	bog lowland	1.43	12.44	85.29
1936	tfis01	bog lowland	1.47	14.08	69.55
1935	tfis01	bog lowland	1.45	11.36	91.74
1934	tfis01	bog lowland	1.45	12.14	88.90
1933	tfis01	bog lowland	1.36	11.68	81.94
1932	tfis01	bog lowland	1.30	11.68	114.84
1931	tfis01	bog lowland	1.18	11.22	104.90
1930	tfis01	bog lowland	1.20	12.79	174.97
1929	tfis01	bog lowland	1.24	12.85	111.48
1928	tfis01	bog lowland	1.24	12.72	64.13
1927	tfis01	bog lowland	1.24	13.51	50.71
1926	tfis01	bog lowland	1.19	14.08	99.10
1925	tfis01	bog lowland	1.05	13.00	115.23
1924	tfis01	bog lowland	0.94	12.46	101.55
1923	tfis01	bog lowland	0.94	14.18	72.65
1922	tfis01	bog lowland	0.95	10.40	113.68
1921	tfis01	bog lowland	0.95	13.56	66.06
1920	tfis01	bog lowland	0.94	12.49	64.26
1919	tfis01	bog lowland	0.94	13.22	107.10
1918	tfis01	bog lowland	0.90	12.10	74.06
1917	tfis01	bog lowland	0.97	12.43	94.32
1916	tfis01	bog lowland	1.03	13.04	123.35
1915	tfis01	bog lowland	1.08	14.88	126.84
1914	tfis01	bog lowland	1.14	12.81	90.58
1913	tfis01	bog lowland	1.07	14.35	95.10
1912	tfis01	bog lowland	0.99	13.07	95.61
1911	tfis01	bog lowland	0.86	12.88	84.64
1910	tfis01	bog lowland	0.76	12.93	85.29
1909	tfis01	bog lowland	0.63	12.64	77.94
1908	tfis01	bog lowland	0.64	-9999.00	-9999.00
1907	tfis01	bog lowland	0.58	-9999.00	-9999.00
1906	tfis01	bog lowland	0.55	-9999.00	-9999.00
1905	tfis01	bog lowland	0.51	-9999.00	-9999.00
1904	tfis01	bog lowland	0.46	-9999.00	-9999.00
1903	tfis01	bog lowland	0.40	-9999.00	-9999.00
1902	tfis01	bog lowland	0.41	-9999.00	-9999.00
1901	tfis01	bog lowland	0.47	-9999.00	-9999.00
1900	tfis01	bog lowland	0.48	-9999.00	-9999.00
1899	tfis01	bog lowland	0.51	-9999.00	-9999.00
1898	tfis01	bog lowland	0.56	-9999.00	-9999.00
1897	tfis01	bog lowland	0.72	-9999.00	-9999.00
1896	tfis01	bog lowland	0.75	-9999.00	-9999.00
1895	tfis01	bog lowland	0.86	-9999.00	-9999.00
1894	tfis01	bog lowland	1.03	-9999.00	-9999.00
1893	tfis01	bog lowland	1.33	-9999.00	-9999.00
2000	tfis02	bog lowland	0.35	12.36	93.81
1999	tfis02	bog lowland	0.45	14.05	95.48
1998	tfis02	bog lowland	0.55	13.40	122.06
1997	tfis02	bog lowland	0.62	14.96	56.26
1996	tfis02	bog lowland	0.65	13.53	85.94
1995	tfis02	bog lowland	0.71	14.81	95.35
1994	tfis02	bog lowland	0.73	14.76	73.94
1993	tfis02	bog lowland	0.68	15.19	82.97
1992	tfis02	bog lowland	0.63	13.11	98.45
1991	tfis02	bog lowland	0.64	14.17	46.58
1990	tfis02	bog lowland	0.70	15.83	159.23
1989	tfis02	bog lowland	0.85	14.67	76.52
1988	tfis02	bog lowland	0.95	15.54	96.39
1987	tfis02	bog lowland	1.09	14.85	52.39
1986	tfis02	bog lowland	1.20	13.99	84.39
1985	tfis02	bog lowland	1.21	13.35	100.77
1984	tfis02	bog lowland	1.11	13.22	77.03
1983	tfis02	bog lowland	1.06	14.21	86.06
1982	tfis02	bog lowland	1.02	13.47	99.23
1981	tfis02	bog lowland	0.92	12.82	92.90
1980	tfis02	bog lowland	0.90	13.01	70.97
1979	tfis02	bog lowland	0.85	14.01	82.19
1978	tfis02	bog lowland	0.80	13.85	71.74
1977	tfis02	bog lowland	0.68	14.68	117.94
1976	tfis02	bog lowland	0.57	13.92	69.16
1975	tfis02	bog lowland	0.47	15.74	72.13
1974	tfis02	bog lowland	0.42	14.54	53.03
1973	tfis02	bog lowland	0.37	13.88	80.77
1972	tfis02	bog lowland	0.34	14.17	60.65
1971	tfis02	bog lowland	0.33	13.85	94.45
1970	tfis02	bog lowland	0.34	14.04	95.87
1969	tfis02	bog lowland	0.35	13.26	64.39
1968	tfis02	bog lowland	0.41	14.33	53.42
1967	tfis02	bog lowland	0.47	13.54	146.45
1966	tfis02	bog lowland	0.51	13.93	27.61
1965	tfis02	bog lowland	0.52	11.51	81.03
1964	tfis02	bog lowland	0.59	12.07	87.74
1963	tfis02	bog lowland	0.62	12.40	93.68
1962	tfis02	bog lowland	0.67	13.47	162.84
1961	tfis02	bog lowland	0.72	13.13	106.71
1960	tfis02	bog lowland	0.75	13.64	92.00
1959	tfis02	bog lowland	0.69	12.58	99.87
1958	tfis02	bog lowland	0.66	14.14	52.52
1957	tfis02	bog lowland	0.71	14.47	20.00
1956	tfis02	bog lowland	0.80	13.18	92.90
1955	tfis02	bog lowland	0.87	12.19	142.97
1954	tfis02	bog lowland	0.99	13.28	101.03
1953	tfis02	bog lowland	1.21	14.35	105.16
1952	tfis02	bog lowland	1.31	11.93	80.00
1951	tfis02	bog lowland	1.40	13.38	78.84
1950	tfis02	bog lowland	1.57	13.60	69.16
1949	tfis02	bog lowland	1.74	11.51	113.81
1948	tfis02	bog lowland	1.82	11.81	148.52
1947	tfis02	bog lowland	1.95	12.43	68.26
1946	tfis02	bog lowland	1.93	13.29	86.71
1945	tfis02	bog lowland	1.90	11.22	141.16
1944	tfis02	bog lowland	1.78	12.90	97.81
1943	tfis02	bog lowland	1.60	12.56	72.26
1942	tfis02	bog lowland	1.36	14.31	144.77
1941	tfis02	bog lowland	1.33	13.65	76.90
1940	tfis02	bog lowland	1.22	14.03	95.10
1939	tfis02	bog lowland	1.19	12.82	101.29
1938	tfis02	bog lowland	1.21	12.61	84.13
1937	tfis02	bog lowland	1.21	12.44	85.29
1936	tfis02	bog lowland	1.23	14.08	69.55
1935	tfis02	bog lowland	1.18	11.36	91.74
1934	tfis02	bog lowland	1.23	12.14	88.90
1933	tfis02	bog lowland	1.29	11.68	81.94
1932	tfis02	bog lowland	1.31	11.68	114.84
1931	tfis02	bog lowland	1.23	11.22	104.90
1930	tfis02	bog lowland	1.21	12.79	174.97
1929	tfis02	bog lowland	1.16	12.85	111.48
1928	tfis02	bog lowland	1.06	12.72	64.13
1927	tfis02	bog lowland	1.16	13.51	50.71
1926	tfis02	bog lowland	1.40	14.08	99.10
1925	tfis02	bog lowland	1.67	13.00	115.23
1924	tfis02	bog lowland	1.93	12.46	101.55
1923	tfis02	bog lowland	1.97	14.18	72.65
1922	tfis02	bog lowland	1.93	10.40	113.68
1921	tfis02	bog lowland	1.76	13.56	66.06
1920	tfis02	bog lowland	1.65	12.49	64.26
1919	tfis02	bog lowland	1.38	13.22	107.10
1918	tfis02	bog lowland	1.25	12.10	74.06
1917	tfis02	bog lowland	1.09	12.43	94.32
1916	tfis02	bog lowland	0.92	13.04	123.35
1915	tfis02	bog lowland	0.71	14.88	126.84
1914	tfis02	bog lowland	0.57	12.81	90.58
1913	tfis02	bog lowland	0.50	14.35	95.10
1912	tfis02	bog lowland	0.48	13.07	95.61
1911	tfis02	bog lowland	0.46	12.88	84.64
1910	tfis02	bog lowland	0.51	12.93	85.29
1909	tfis02	bog lowland	0.71	12.64	77.94
1908	tfis02	bog lowland	0.83	-9999.00	-9999.00
1907	tfis02	bog lowland	0.88	-9999.00	-9999.00
1906	tfis02	bog lowland	0.93	-9999.00	-9999.00
1905	tfis02	bog lowland	0.85	-9999.00	-9999.00
1904	tfis02	bog lowland	0.71	-9999.00	-9999.00
1903	tfis02	bog lowland	0.66	-9999.00	-9999.00
