Ring_pair,L01_rd,D01_rd,L02_rd,D02_rd,L03_rd,D03_rd,L04_rd,D04_rd,L05_rd,D05_rd,L06_rd,D06_rd,L07_rd,D07_rd,L08_rd,D08_rd,L10_rd,D10_rd,L11_rd,D11_rd,L12_rd,D12_rd,L13_rd,D13_rd,L14_rd,D14_rd,L15_rd,D15_rd,L16_rd,D16_rd,L17_rd,D17_rd,L18_rd,D18_rd,L19_rd,D19_rd,L20_rd,D20_rd,L21_rd,D21_rd,L22_rd,D22_rd,L23_rd,D23_rd,L24_rd,D24_rd,L25_rd,D25_rd,L26_rd,D26_rd,L27_rd,D27_rd,L28_rd,D28_rd,L29_rd,D29_rd,L30_rd,L31_rd,D31_rd,L32_rd,D32_rd,L33_rd,D33_rd,L34_rd,D34_rd,L35_rd,D35_rd,L36_rd,D36_rd,L37_rd,D37_rd,L38_rd,D38_rd,L39_rd,D39_rd,L40_rd,D40_rd
1,7,6,1,6,2,1,5,5,8,1,3,5,3,14,10,0,6,6,8,15,7,2,1,0,8,1,5,3,2,8,4,11,5,8,4,2,3,7,14,4,6,4,11,0,8,6,3,1,2,4,6,13,4,0,2,0,8,7,4,9,7,6,3,0,0,1,5,0,3,2,3,14,3,4,2,1,10
2,0,0,7,1,0,0,0,0,1,0,10,3,17,2,1,16,9,0,7,0,0,0,5,0,0,0,11,10,4,3,2,5,7,5,2,5,0,3,0,0,0,4,2,2,4,4,3,1,0,15,8,1,0,0,0,10,0,3,0,0,0,15,2,3,3,1,2,0,1,1,1,0,2,6,1,8,3
3,4,4,3,1,4,4,9,14,1,4,4,4,4,1,0,3,4,4,0,6,5,1,10,3,3,0,7,5,0,0,0,11,9,2,0,0,5,2,2,3,0,0,2,7,0,0,4,5,6,0,3,11,15,12,6,7,7,4,7,4,3,0,5,1,3,3,0,2,2,2,9,8,0,2,1,6,8
4,2,7,3,4,0,2,0,0,10,5,3,2,2,10,0,0,3,5,8,9,6,0,3,3,0,0,0,0,7,12,5,2,0,0,12,4,4,8,11,2,14,5,3,6,12,9,2,4,0,3,3,0,7,3,5,5,10,11,5,7,9,8,5,4,4,6,6,2,0,13,3,10,5,1,0,3,0
5,2,3,4,8,3,4,2,1,3,7,0,0,11,11,6,11,0,0,9,3,2,1,3,1,9,6,4,12,0,0,3,5,8,8,1,0,6,5,8,3,0,0,7,2,0,0,0,0,0,1,10,4,12,3,2,2,7,5,7,0,9,7,2,1,3,3,4,1,0,5,0,9,3,11,7,7,1
6,0,6,1,0,0,0,5,0,14,2,15,3,4,5,0,0,5,8,2,5,3,10,0,0,5,8,0,0,8,2,8,5,4,3,2,3,0,1,3,0,4,10,3,3,2,2,11,6,8,2,0,4,0,0,0,0,2,7,5,0,0,0,0,0,0,0,6,5,3,8,12,6,9,0,0,0,0
7,0,0,10,6,3,4,6,0,0,0,0,0,0,0,6,4,0,0,2,1,0,2,0,5,1,14,0,1,5,4,0,0,6,9,4,1,0,0,0,0,6,2,0,0,8,8,0,0,0,2,3,3,5,6,13,7,0,1,0,0,0,13,10,10,3,0,0,0,0,0,0,4,0,0,2,2,3
8,6,8,0,0,1,3,0,0,5,13,2,6,4,15,2,3,1,13,7,11,6,3,0,0,0,0,4,2,2,3,0,11,9,10,5,3,3,13,9,12,4,6,4,11,11,3,0,2,3,15,3,5,0,0,0,0,18,7,8,14,14,0,0,0,0,13,8,5,2,12,10,9,1,7,2,2,1
9,0,0,0,2,2,4,6,0,0,0,5,5,0,0,9,8,6,4,8,0,0,0,3,10,9,8,7,8,0,0,0,9,11,3,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,7,5,9,3,0,3,0,0,0,0,0,2,0,2,0,0,0,7,3,0,1,3,0,4,6,9,8
10,2,0,4,6,0,5,0,0,1,0,5,3,8,3,0,0,1,7,3,4,4,0,10,8,0,0,0,1,9,10,3,0,5,0,14,6,6,1,0,2,8,10,0,2,5,7,8,6,2,2,0,0,1,5,5,2,0,2,7,1,1,4,4,1,4,1,6,5,0,3,0,4,4,1,0,0,0
