Site	Random_year
ABJAL_MEX_01	1998
ACCAR_BOL_01	2000
ADDIG_BOT_01	1974
AFXYL_THA_01	1991
AIOCH_DEM_01	1986
ALACU_ARG_01	1954
ALTRI_BRA_01	1965
ALTRI_BRA_02	1978
AMCEA_BOL_01	1983
AMCEA_BOL_03	1948
AMCEA_BRA_02	1989
ANMAC_BOL_01	1938
APMAC_COL_01	2007
ARANG_BRA_01	2005
ARANG_BRA_02	1968
ARANG_BRA_03	1924
ARANG_BRA_04	1991
ARANG_BRA_05	1988
ARANG_BRA_06	2010
arge032	1919
arge035	1942
arge041	1968
arge042	1953
arge044	1954
arge045	1903
arge053	1944
arge057	1965
arge058	1966
arge064	1909
arge067	1870
ASCAS_BRA_01	1994
ASMUL_BRA_01	2000
ASPOL_BRA_01	1895
ASPOL_BRA_02	1839
ASPYR_BRA_01	2012
ASPYR_BRA_02	1986
ASPYR_BRA_03	2007
ASSUB_BRA_01	2009
ASTOM_BOL_01	1935
ausl037	1946
BAPLU_ZAM_01	1975
BAPLU_ZAM_02	1976
BAPLU_ZAM_03	1982
bol002	1939
bol004	1933
bra002	1993
BRBOE_ZAM_01	1899
BRBOE_ZAM_02	1997
BRSPI_TAN_01	1976
BRSPI_TAN_09	1977
BRSPI_ZAM_02	1965
BRSPI_ZAM_03	1968
BRSPI_ZAM_04	1877
BRSPI_ZAM_05	1984
BRSPI_ZAM_06	1977
BRSPI_ZAM_07	1991
BRSPI_ZAM_08	1923
bt001	1766
bt002	1971
bt003	1897
bt004	1777
bt005	1947
bt006	1991
bt007	1797
bt008	1670
bt009	1817
bt010	1816
bt011	1801
bt012	2003
bt013	1886
bt014	1991
bt015	1879
bt016	1995
bt017	1961
bt018	1892
bt019	1965
bt020	1871
bt021	1891
BUAFR_NAM_01	1965
BUGRA_ECU_01	1978
CAODO_COL_01	2003
CAPLU_BOL_01	1919
CAPYR_COL_01	1892
CEANG_ARG_01	1852
CEANG_ARG_02	1946
CEANG_ARG_03	1937
CEANG_ARG_04	1898
CECAT_BOL_01	1975
CEFIS_BRA_01	1977
CEFIS_BRA_02	1980
CEFIS_BRA_03	1957
CEFIS_BRA_04	1973
CEFIS_BRA_05	2017
CEFIS_BRA_06	1998
CEFIS_BRA_07	17
CEFIS_BRA_08	38
CEFIS_BRA_09	28
CEMIC_BOL_01	1966
CEMIC_BOL_02	1929
CEMIC_BOL_03	1989
CEMIC_BOL_04	1858
CEMIC_BOL_05	1956
CEMIC_BOL_06	1934
CEMIC_BOL_07	1940
CEMIC_BOL_08	1984
CEMON_ECU_01	2005
CENEB_PER_01	2002
CEODO_BOL_01	1910
CEODO_BRA_01	2004
CEODO_BRA_02	1989
CEODO_BRA_03	1987
CEODO_BRA_06	1969
CEODO_BRA_07	2008
CEODO_BRA_10	1958
CEODO_BRA_11	1968
CEODO_COL_08	1988
CEODO_PER_05	2003
CEODO_PER_09	1921
CESAL_MEX_01	1951
CHAXI_THA_01	1956
chin017	1761
chin018	1964
chin019	1832
chin021	2007
chin023	1866
chin024	1807
chin025	1793
chin026	1788
chin027	1818
chin028	1970
chin037	1874
chin038	1917
chin039	1877
chin040	1952
chin041	1920
chin043	1657
chin044	1641
chin045	1709
chin073	1903
chin075	1901
CHTAB_BAN_01	1972
CHTAB_THA_01	1956
COLUC_BRA_01	1986
AMCEA_BOL_03	1912
COPAN_DEM_01	1945
DRSPP_PER_01	1970
ENCYL_CAM_01	1842
ERAFR_ZAM_01	1964
ERIVO_CAM_01	1947
fl003	1900
fl004	1902
fl005	1930
fl006	1946
fl007	1911
fl008	1809
fl009	1848
FOHOD_VIE_01	1666
GEAME_COS_01	1956
GOGLA_COL_01	2004
HAIMP_BRA_01	1996
HAOCH_BRA_01	1994
HASER_BRA_01	2009
HEFOM_BAN_01	2006
HUCRE_PER_01	1993
HUPRO_COL_01	2015
HYCOU_BRA_01	1985
HYCOU_BRA_02	1939
HYCOU_BRA_03	1920
HYSTI_BRA_01	2018
indi021	1981
indi025	1933
indo001	1943
indo002	1980
indo003	1786
indo004	1988
indo005	1798
indo006	1977
indo007	1849
indo008	1888
JACOP_PAN_01	1991
JACOP_PER_02	2018
JUAUS_ARG_01	1914
JUAUS_ARG_02	1931
JUAUS_ARG_03	1956
JUAUS_ARG_04	1974
JUAUS_ARG_05	1989
JUAUS_ARG_06	1947
JUAUS_ARG_07	1924
JUAUS_ARG_08	1953
JUAUS_ARG_09	1952
JUAUS_ARG_10	1976
JUAUS_ARG_11	1942
JUAUS_ARG_12	1923
JUNEO_PER_01	1956
JUPRO_ETH_01	1988
JUPRO_ETH_02	1920
JUPRO_ETH_03	2001
JUPRO_ETH_04	1992
JUPRO_ETH_05	1993
JUPRO_ETH_06	2000
JUPRO_ETH_07	1979
keny001	1950
keny002	1977
LASPE_BAN_01	1987
LIFER_BRA_01	2006
LIFER_BRA_02	2010
ls001	1960
ls002	1967
MAACA_BOL_02	1989
MAACA_PER_01	1973
MASCL_BOL_01	1987
MATIN_ECU_01	2004
MEAZE_THA_01	1997
mexi021	1944
mexi022	1915
mexi023	1880
mexi024	1904
mexi025	1935
mexi026	1822
mexi027	1843
mexi028	1817
mexi029	1810
mexi030	1953
mexi032	1879
mexi033	1934
mexi034	1969
mexi035	1701
mexi036	1805
mexi037	1957
mexi038	1848
mexi041	1959
mexi042	1947
mexi043	1915
mexi044	1875
mexi045	1953
mexi046	1881
mexi047	1794
mexi048	1885
mexi049	1879
mexi050	1963
mexi051	1848
mexi052	1888
mexi053	1978
mexi054	1967
mexi056	1847
mexi057	1966
mexi058	1963
mexi059	1927
mexi060	1987
mexi061	2005
mexi062	1952
mexi063	1972
mexi064	1932
mexi065	1958
mexi066	2002
mexi067	1977
mexi068	1904
mexi069	1998
mexi070	1986
mexi071	1821
mexi072	1965
mexi073	1847
mexi074	1771
mexi075	1832
mexi076	1955
mexi077	1889
mexi078	1948
mexi079	1937
mexi080	1901
mexi081	1960
mexi082	1969
mexi083	1962
mexi084	1920
mexi085	1971
mexi086	1832
mexi087	1950
mexi088	1926
mexi089	1981
mexi090	1956
mexi091	1915
mexi092	1995
mexi093	1933
mexi094	1870
mexi095	1982
mexi096	1920
mexi097	1974
mexi098	1941
mexi099	1956
mexi100	1896
mexi101	2001
mexi102	1932
mexi103	1879
mexi104	1944
mexi105	1943
mexi109	1707
mexi110	1972
mexi111	1977
mexi112	1792
mexi113	1969
mexi114	1977
mexi115	1998
MIACA_MEX_01	1993
MYBAL_PER_01	2009
NEOPP_BRA_01	1972
NEOPP_BRA_02	1906
nepa001	1849
nepa002	1885
nepa003	1906
nepa004	1846
nepa005	1962
nepa006	1853
nepa007	1966
nepa008	1920
nepa009	1933
nepa010	1684
nepa011	1944
nepa012	1836
nepa013	1996
nepa014	1766
nepa015	1854
nepa016	1890
nepa017	1913
nepa018	1854
nepa019	1936
nepa020	1925
nepa021	1739
nepa022	1966
nepa023	1783
nepa024	1801
nepa025	1794
nepa026	1965
nepa027	1919
nepa028	1930
nepa029	1821
nepa030	1869
nepa031	1776
nepa032	1959
nepa033	1929
nepa034	1945
nepa035	1923
nepa036	1703
nepa037	1880
nepa038	1921
nepa039	1847
nepa040	1970
nepa041	1917
nepa042	1961
nepa043	1956
nepa044	1956
nepa045	1943
nepa046	1909
nepa047	1978
nepa048	1958
nepa049	1987
nepa050	1959
nepa051	1917
nepa052	1995
nepa053	1965
nepa054	1934
nepa055	1986
PAPRA_COL_01	1998
PEELA_DEM_01	1948
ph001	1971
PICEM_MEX_01	1974
PIELL_BAH_01	2000
PIELL_UNI_01	1914
PIELL_USA_03	1917
PIGRE_MEX_01	1980
PIGRE_MEX_02	1975
PIHAR_MEX_01	1985
PIHAR_MEX_02	1925
PIHAR_MEX_03	1940
PIHAR_MEX_04	1998
PIHAR_MEX_05	85
PIHAR_MEX_06	116
PIKES_THA_01	1977
PIKES_THA_02	1940
PIKES_THA_03	1993
PIKES_THA_04	1969
PIKES_THA_05	1966
PIKES_THA_06	1974
PIMAR_MEX_01	1976
PIMAR_MEX_02	1978
PIMAR_MEX_03	1976
PIMER_THA_01	1958
PIMER_THA_02	1901
PIMER_THA_03	1868
PIMEX_MEX_01	1964
PIMEX_MEX_02	1931
PIMON_MEX_01	1960
PINEL_MEX_01	1939
PIOOC_MEX_01	2001
PIOOC_MEX_02	2002
PIOOC_MEX_03	1948
PIOOC_MEX_04	2005
PIOOC_MEX_05	1990
PIOOC_MEX_06	1989
PIPAL_UNI_01	1965
PIPAL_UNI_02	1972
PIPAL_UNI_03	1932
PIPAT_MEX_01	1951
PIPIN_MEX_01	1936
PIPIN_MEX_02	1957
PIPIN_MEX_03	1938
PIPSE_MEX_01	1955
PIPSE_MEX_02	2000
PIRUD_MEX_01	1928
PISMI_NEP_01	1935
PISMI_NEP_02	1873
PISMI_NEP_03	1999
PITEO_MEX_01	1962
PITEO_MEX_02	1966
POPYR_BRA_01	1986
POPYR_BRA_02	2005
POROD_PER_01	1988
POTAR_PER_01	1788
PRBAL_DEM_01	1970
PSMEN_MEX_01	1892
PSMEN_MEX_02	1968
PSSIN_VIE_01	1901
PTANG_NAM_01	1894
QULIN_COL_01	1986
RHCAM_NEP_01	1977
SCBRA_BOL_01	1875
SCBRA_BRA_02	2004
SISAL_MEX_01	1985
SOAPE_BAN_01	1999
SOCHR_USA_01	1992
sur001	1982
SWMAC_BRA_01	1915
SWMAC_PER_02	2012
TAAUR_BRA_01	2011
TAAUR_BRA_02	1971
TAIMP_BOL_01	1951
TAMUC_GUA_02	1971
TAMUC_GUA_03	1864
TAMUC_MEX_01	1933
TAMUC_MEX_04	1780
TAMUC_MEX_05	1979
TAMUC_MEX_06	1691
TEGRA_IND_01	1918
TEGRA_IND_02	1891
TEGRA_THA_01	1954
TEGRA_THA_02	1923
TEGRA_THA_03	1932
TEGRA_THA_04	1936
TEGRA_THA_05	1968
TEGRA_THA_06	1987
TEGRA_THA_07	1983
TEGRA_THA_08	1912
TEGRA_THA_09	1982
TEGRA_THA_10	1947
TEGRA_THA_11	1958
TEPAN_PAN_01	2010
TESIN_CHI_01	1904
TESUP_DEM_01	1986
TESUP_DEM_02	1990
TESUP_IVO_03	2000
th001	1800
th002	1946
th003	1979
th004	1947
th005	1885
th006	1838
TOCIL_AUS_01	1933
TOCIL_AUS_02	1944
TOCIL_BAN_04	1980
TOCIL_THA_03	2002
TRSCL_CAM_01	2003
TRSCL_CAM_02	1908
TRTUB_PAN_01	1948
TSDOM_CHI_01	1961
tw001	1505
tx030	1939
tx033	1909
tx039	1910
tx041	1962
tx042	1842
tx052	1680
tx054	1673
viet001	1681
viet002	1908
XYWIL_DEM_01	1976
ZETUB_BOL_01	1899
ZIJOA_BRA_01	2004
ZIJOA_BRA_02	2011
zimb001	1950
zimb002	1897
zimb003	1927
TEGRA_MYA_01	NA
TEGRA_MYA_02	NA
TEGRA_MYA_03	NA
