1. FILE NAME: amlfr.txt
2. STATE OR COUNTRY: Colorado, U.S.A.
3. SITE NAME: Almagre Mountain
4: SITE CODE: Alm
5. ELEVATION: 3353-3700 meters
6. LATITUDE: 38 46 N
7. LONGITUDE: 104 59 W
8. SPECIES: PIAR
9. COMMON NAME: Rocky Mountain bristlecone pine
10. MEASURMENT TYPE: not applicable
11. CHRONOLOGY TYPE: latewood frost ring
12. FIRST AND LAST YEAR: 569 B.C. to A.D. 1993
13. PRINCIPAL INVESTIGATOR(S): F. Craig Brunstein


LATEWOOD FROST RINGS IN SAMPLED BRISTLECONE PINES AT ALMAGRE MOUNTAIN, COLORADO

[Year of frost ring is followed by two numbers separated by a dash. First number
 is number of sampled trees; second number is percent of trees having frost ring. 
Letter "a" indicates latewood frost rings at one or more of the following Colorado 
bristlecone pine sites in addition to Almagre Mountain:  Black Mountain, Mount 
Princeton, North Peak, Stanley Mountain (Brunstein, 1995); Mount Bross-Windy Ridge, 
Mount Goliath (Krebs, 1972). Letter "b" indicates latewood frost rings recorded in 
bristlecone pines in the Snake Range, Nevada, and (or) the White Mountains, 
California (LaMarche, 1970; LaMarche and Hirschboeck, 1984).]

B.C. 
512  1-100 
467  2-50  
396  2-50  
387  2-50   
356  2-50  
349  3-33  
341  3-33  
327  3-33  
296  3-33  
269a  3-33  
259  3-33  
248a  3-33  
203a  4-25  
186  5-20  
177  6-17  
161  6-17  
152  7-14  
139a  9-100 
127a  9-89  
124  9-22  
92  12-8  
42ab 17-71 
33  18-17 
10  16-38 

A.D.   
53  23-4  
54  23-48 
58  23-35 
62  24-12 
78  24-46 
94  23-52 
105  24-8  
112  24-12 
114  24-4  
128  24-8  
132  24-4  
142  24-46 
144  23-4  
158  23-4  
180  22-5  
230  18-11 
241  18-6  
243  18-6  
253  18-6  
259  18-6  
263  18-11 
267  18-6  
268  18-33 
273  18-11 
280  18-6  
304  18-11 
323  18-6  
325  18-22 
338  18-6  
343  18-17 
378  19-5  
393  19-5  
471  21-10 
484  21-10 
527  24-4  
536a  25-28 
544  27-4  
553a  27-85 
574  26-23 
626  29-3  
627a  29-83 
650  29-17 
656  29-10 
689  29-3  
699  29-7  
710  28-7  
718  28-7  
721  28-7  
746  28-4  
747  28-4  
767  29-4  
772  29-10 
783  28-25 
804  29-3  
809  27-11 
832  26-8  
858  25-24 
877  28-11 
886  28-71 
890  28-50 
895  28-4  
903  28-39 
916  28-21 
925  28-11 
945  29-24 
964  30-10 
973  30-13 
984  30-23 
985  30-20 
993  30-7  
1008a 28-36 
1029ab 31-52 
1051  32-6  
1058  32-3  
1066  31-3  
1079  30-3  
1080  29-7  
1136  28-7  
1139  28-4  
1171ab 28-11 
1192a 29-17 
1199  29-14 
1208  28-11 
1214  28-4  
1225a 29-55 
1237  29-3   
1260  29-17  
1275  30-10  
1293a 30-7   
1298  31-13  
1329a 27-37  
1341  27-4   
1383  28-4   
1406  30-50  
1408a 30-73  
1420  7-14   
1443  33-3   
1453ab 33-75  
1481a 33-15  
1484a 33-57  
1490 a 33-9   
1521  8-63   
1536  9-22   
1539  9-11   
1546  33-3   
1549  9-22   
1556a 33-12  
1570  9-22   
1572  9-22   
1588  33-3   
1595  33-3   
1596a 33-3   
1609  34-3   
1615  35-3   
1626  36-6   
1639  13-15  
1643  40-3   
1648a 40-23  
1658a 42-12  
1660b 42-5   
1663a 42-10  
1671  43-14  
1677  43-2 
1680b 43-5
1683  43-5
1687  43-2
1692  44-2
1697  44-5
1700  46-2
1706  47-9
1718  48-6
1725  48-2
1728  48-2
1730  48-2
1740  49-2
1748  21-5
1752  51-2
1761ab 54-28
1766  55-20
1790  54-2
1805ab 53-64
1817ab 53-21
1828ab 52-44
1831a 51-18 
1835a 51-20
1837ab 51-6
1843  23-9
1847  51-4
1852  51-6
1866a 53-30
1869  53-11
1878a 53-6
1882a 53-2
1903a 56-23
1912ab 57-12
1941b 61-20
1961  62-11
1965b 62-13


REFERENCES
Brunstein, F. C., 1995: Bristlecone pine frost-ring and light-ring chronologies, from 569 B.C. to A.D. 
1993, Colorado. U.S. Geological Survey Open-File Report 95-63. 25 pp.

Brunstein, F.C., 1996, Climatic significance of the bristlecone pine latewood frost-ring record at Almagre 
Mountain, Colorado, U.S.A.: Arctic and Alpine Research, v. 28, n. 1, p. 66-77.

Krebs, P. H., 1972: Dendrochronology and the distribution of bristlecone pine in Colorado. Ph.D. 
dissertation, University of Colorado. 211 pp.

LaMarche, V. C., Jr., 1970: Frost-damage rings in subalpine conifers and their application to tree-ring 
dating problems, In Smith, J. H. G. and Worrall, J., (eds.), Tree-ring analysis with special reference 
to Northwest America. The University of British Columbia Faculty of Forestry Bulletin, 7: 99-100.

LaMarche, V. C., Jr., and Hirschboeck, K. K., 1984: Frost rings in trees as records of major volcanic 
eruptions. Nature, 307: 121-126.

